Date,Price,Signal,StrikeCount,Strike
07/29,218.24,BUY,,header
07/11,230.3,SELL,,Y
06/26,212.25,BUY,,Y
06/20,213.16,SELL,,Y
06/12,208.12,BUY,,Y
06/10,193.12,SELL,3,X
05/29,190.29,BUY,,Y
05/23,190.21,SELL,2,X
05/02,173.03,BUY,,Y
04/26,169.3,SELL,1,X
04/23,166.44,BUY,,Y
04/16,171.13,SELL,,Y
04/03,169.65,BUY,,Y
03/26,169.71,SHORT,,Y
03/12,173.23,BUY,2,X
02/26,181.58,SHORT,,Y
02/21,182.32,BUY,1,X
02/08,188.7,SELL,,Y
02/01,186.39,BUY,,Y
01/25,194.17,SHORT,,Y
01/08,185.56,BUY,,Y
12/18,195.89,SELL,,Y
12/01,191.24,BUY,,Y
11/24,189.97,SELL,1,X
10/30,169.63,BUY,,Y
10/26,169.75,SHORT,,Y
10/24,173.44,BUY,1,X
10/19,175.46,SELL,,Y
10/05,174.42,BUY,,Y
09/21,173.93,SHORT,1,X
09/18,177.11,BUY,1,X
09/06,187.07,SELL,,Y
08/23,179.16,BUY,,Y
08/02,192.58,SHORT,,Y
07/25,193.62,BUY,2,X
07/21,192.43,SELL,3,X
07/17,192.59,BUY,1,X
07/05,191.33,SELL,3,X
06/27,187.66,BUY,,Y
06/21,184.23,SELL,3,X
06/08,180.57,BUY,,Y
06/05,179.87,SELL,3,X
06/01,178.34,BUY,,Y
05/23,172.5,SELL,3,X
05/08,173.11,BUY,3,X
05/02,168.54,SELL,3,X
04/28,169.1,BUY,3,X
04/21,165.02,SELL,3,X
04/14,165.21,BUY,2,X
04/12,160.22,SHORT,2,X
03/31,163.02,BUY,1,X
03/28,157.65,SELL,1,X
03/14,151.82,BUY,,Y
03/07,151.86,SELL,,Y
02/27,147.92,BUY,,Y
02/21,149.66,SHORT,,Y
02/13,151.55,BUY,1,X
02/09,151.38,SELL,2,X
01/06,129.62,BUY,,Y
01/05,125.42,SHORT,1,X
12/30,129.93,BUY,3,X
12/27,130.92,SHORT,,Y
12/21,133.45,BUY,3,X
12/06,146.11,SELL,,Y
12/01,148.31,BUY,3,X
11/28,144.62,SELL,1,X
11/11,147.39,BUY,2,X
11/02,148.42,SELL,,Y
10/31,153.34,BUY,1,X
10/27,147.54,SELL,1,X
10/13,141.81,BUY,,Y
10/07,142.03,SHORT,,Y
10/03,140.23,BUY,,Y
09/23,150.65,SHORT,,Y
09/20,155.02,BUY,2,X
09/15,153.29,SHORT,1,X
09/09,156.5,BUY,1,X
08/30,161.56,SHORT,,Y
08/24,167.53,BUY,,NA
